url,status
http://www.scb.se/statistik/MI/MI0810/2005A01/MI0810_2005A01_SM_MI38SM0601.pdf,HARD_404
http://www.scb.se/statistik/_publikationer/OV9999_2004A01_BR_X20OP0502.pdf,HARD_404
http://www.ssd.scb.se/databaser/makro/Visavar.asp?yp=tansss&xu=C9233001&huvudtabell=FolkmangdTatort&deltabell=1&deltabellnamn=Folkm%E4ngden+per+t%E4tort.+Vart+femte+%E5r&omradekod=BE&omradetext=Befolkning&preskat=O&innehall=Folkmangd&starttid=1990&stopptid=2005&Prodid=BE0101&fromSok=Sok&Fromwhere=S&lang=1&langdb=1,ERROR
http://www.scb.se/,200
http://w41.scb.se/templates/Publikation____186288.asp,ERROR
http://www.scb.se/MI0811,ERROR
http://www.scb.se/statistik/OV/OV0904/2007A01/medelsvensson.pdf,ERROR
http://www.scb.se/statistik/PR/PR0101/handbok.pdf,HARD_404
http://www.h.scb.se/kommunfakta/kartor/demo/index2380.htm,ERROR
http://www.scb.se/Pages/TableAndChart____193256.aspx,HARD_404
http://www.scb.se/Pages/TableAndChart____100574.aspx,HARD_404
http://www.scb.se/Pages/NameSearch.aspx?id=259432,HARD_404
http://www.scb.se/templates/tableOrChart____193256.asp,HARD_404
http://www.scb.se/Pages/Product____12991.aspx,200
http://www.scb.se/statistik/_publikationer/ME0104_2006A01_BR_ME03SA0701.pdf,HARD_404
http://www.scb.se/templates/Publikation____199144.asp,ERROR
http://www.scb.se/Pages/Product____25785.aspx,HARD_404
http://www.scb.se/Pages/Product____30895.aspx,HARD_404
http://www.scb.se/Pages/Product____33769.aspx,HARD_404
http://www.scb.se/statistik/_publikationer/BE0101_2005A01_BR_BE0106TAB.pdf,ERROR
http://www.scb.se/templates/Product____12991.asp,HARD_404
http://www.scb.se/templates/pressinfo____184047.asp,ERROR
http://www.scb.se/Pages/TableAndChart____228193.aspx,ERROR
http://www.scb.se/Pages/PublishingCalendarViewInfo____259923.aspx?PublObjId=10420,ERROR
